Author/date,Muscle,Ext/Flex,Upper/lower,subgroup,%MVC,Young age mean,Elderly age mean,Ne,Nc,Me,Se,Mc,Sc
Vaillancourt 2003 (old),First dorsal interosseous,Other,Upper,Upper,0.1,22,67,10,10,10.3,1.8,11.3,1.6
Vaillancourt 2003 (old),First dorsal interosseous,Other,Upper,Upper,0.2,22,67,10,10,12.5,1.8,12.2,1.7
Vaillancourt 2003 (old),First dorsal interosseous,Other,Upper,Upper,0.4,22,67,10,10,12.7,2,12.6,1.7
Vaillancourt 2003 (oldest),First dorsal interosseous,Other,Upper,Upper,0.05,22,82,10,10,8.1,1.7,9.2,1.9
Vaillancourt 2003 (oldest),First dorsal interosseous,Other,Upper,Upper,0.1,22,82,10,10,10.3,1.8,10.5,1.9
Vaillancourt 2003 (oldest),First dorsal interosseous,Other,Upper,Upper,0.2,22,82,10,10,12.5,1.8,12.4,2.3
Vaillancourt 2003 (oldest),First dorsal interosseous,Other,Upper,Upper,0.4,22,82,10,10,12.7,2,13.1,2
Kirk 2019,sup. trap.,Other,Upper,Upper,0.25,26,83,10,10,20.2,2.4,13.4,2
Kirk 2019,sup. trap.,Other,Upper,Upper,0.5,26,83,10,10,27,3.5,17.6,3
Kirk 2019,sup. trap.,Other,Upper,Upper,1,26,83,10,10,47.2,9.6,26.7,5.8
Power et al. 2010,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.1,27,66,10,10,13.1,1.3,12.6,1.7
Power et al. 2012,Biceps Brachii,Flexor,Upper,Upper,0.1,27,70,9,9,12.5,2,11.3,1.9
Piasecki et al. 2016b,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.25,26,71,18,14,12.4,1.5,10.8,1.3
